[Step 1] Action: shoot, Position: (0, 0), Direction: E, Has Gold: False, Percepts: {'stench': True, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 2] Action: turn_left, Position: (0, 0), Direction: E, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': True}
[Step 3] Action: move, Position: (0, 0), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 4] Action: move, Position: (0, 1), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 5] Action: move, Position: (0, 2), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 6] Action: turn_right, Position: (0, 3), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 7] Action: move, Position: (0, 3), Direction: E, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 8] Action: move, Position: (1, 3), Direction: E, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 9] Action: move, Position: (2, 3), Direction: E, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 10] Action: turn_right, Position: (3, 3), Direction: E, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 11] Action: move, Position: (3, 3), Direction: S, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 12] Action: move, Position: (3, 2), Direction: S, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 13] Action: move, Position: (3, 1), Direction: S, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 14] Action: turn_right, Position: (3, 0), Direction: S, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 15] Action: move, Position: (3, 0), Direction: W, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 16] Action: turn_right, Position: (2, 0), Direction: W, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 17] Action: move, Position: (2, 0), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 18] Action: move, Position: (2, 1), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 19] Action: turn_left, Position: (2, 2), Direction: N, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 20] Action: move, Position: (2, 2), Direction: W, Has Gold: False, Percepts: {'stench': False, 'breeze': False, 'glitter': False, 'bump': False, 'scream': False}
[Step 21] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 22] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 23] Action: turn_right, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 24] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 25] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 26] Action: turn_right, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 27] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 28] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 29] Action: turn_right, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 30] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 31] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 32] Action: turn_right, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 33] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 34] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 35] Action: turn_right, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 36] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 37] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 38] Action: turn_right, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 39] Action: turn_left, Position: (1, 2), Direction: W, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
[Step 40] Action: wait, Position: (1, 2), Direction: S, Has Gold: True, Percepts: {'stench': False, 'breeze': False, 'glitter': True, 'bump': False, 'scream': False}
